,,Vaccines declined at 2021-04-14 (%),Vaccines declined at 2021-04-14 (n),Population,Vaccines declined at 2021-04-07 (%),Vaccines declined in past week (%)
Overall,-,1.3%,11662,914277,1.2%,0.0%
Ethnicity,White - British,0.9%,4494,477974,0.9%,0.0%
Ethnicity,White - Irish,1.4%,49,3500,1.4%,0.0%
Ethnicity,White - Any other White background,3.7%,1218,32592,3.6%,0.1%
Ethnicity,Mixed - White and Black Caribbean,2.8%,35,1260,2.8%,0.0%
Ethnicity,Mixed - White and Black African,2.7%,28,1036,2.7%,0.0%
Ethnicity,Mixed - White and Asian,1.6%,14,882,1.6%,0.0%
Ethnicity,Mixed - Any other mixed background,2.6%,42,1645,2.1%,0.4%
Ethnicity,Asian or Asian British - Indian,1.9%,245,12936,1.8%,0.1%
Ethnicity,Asian or Asian British - Pakistani,2.8%,140,5089,2.6%,0.1%
Ethnicity,Asian or Asian British - Bangladeshi,1.8%,14,784,1.8%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,2.4%,140,5943,2.2%,0.1%
Ethnicity,Black or Black British - Caribbean,4.5%,175,3892,4.5%,0.0%
Ethnicity,Black or Black British - African,3.0%,140,4725,2.8%,0.1%
Ethnicity,Black or Black British - Any other Black background,4.4%,70,1589,4.4%,0.0%
Ethnicity,Other ethnic groups - Chinese,2.6%,77,2968,2.6%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,3.7%,203,5495,3.6%,0.1%
Ethnicity,Patients with any other ethnicity code,1.1%,1666,145131,1.1%,0.0%
Ethnicity,Ethnicity not stated,1.7%,98,5880,1.5%,0.1%
Ethnicity,Ethnicity not recorded,1.4%,2814,200956,1.4%,0.0%
Ethnicity (broad categories),White,1.1%,5768,514066,1.1%,0.0%
Ethnicity (broad categories),Mixed,2.6%,126,4830,2.5%,0.1%
Ethnicity (broad categories),South Asian,2.2%,546,24766,2.1%,0.1%
Ethnicity (broad categories),Black,3.8%,392,10206,3.7%,0.1%
Ethnicity (broad categories),Other,3.4%,287,8463,3.2%,0.2%
Ethnicity (broad categories),Unknown,1.3%,4585,351974,1.3%,0.0%
Index of Multiple Deprivation,Unknown,1.4%,259,18872,1.3%,0.1%
Index of Multiple Deprivation,1 (most deprived),2.0%,2583,127652,1.9%,0.1%
Index of Multiple Deprivation,2,1.6%,2611,159733,1.6%,0.1%
Index of Multiple Deprivation,3,1.3%,2548,200088,1.2%,0.0%
Index of Multiple Deprivation,4,1.1%,2205,206794,1.0%,0.0%
Index of Multiple Deprivation,5 (least deprived),0.7%,1491,201159,0.7%,0.0%
