,,People Not Reached at 2021-04-14 (%),People Not Reached at 2021-04-14 (n),Population,People Not Reached at 2021-04-07 (%),People Not Reached in past week (%)
Overall,-,16.4%,287077,1749552,17.0%,-0.6%
Ethnicity,White - British,12.5%,109809,878346,13.0%,-0.5%
Ethnicity,White - Irish,20.0%,1218,6076,20.6%,-0.6%
Ethnicity,White - Any other White background,37.9%,27902,73584,38.7%,-0.8%
Ethnicity,Mixed - White and Black Caribbean,37.7%,1827,4844,38.3%,-0.6%
Ethnicity,Mixed - White and Black African,32.9%,1225,3724,34.0%,-1.1%
Ethnicity,Mixed - White and Asian,25.5%,868,3402,26.5%,-1.0%
Ethnicity,Mixed - Any other mixed background,33.1%,1750,5285,34.2%,-1.1%
Ethnicity,Asian or Asian British - Indian,18.4%,7623,41510,19.1%,-0.7%
Ethnicity,Asian or Asian British - Pakistani,34.5%,13195,38262,35.9%,-1.4%
Ethnicity,Asian or Asian British - Bangladeshi,23.2%,1743,7518,24.2%,-1.0%
Ethnicity,Asian or Asian British - Any other Asian background,23.6%,4634,19621,24.4%,-0.8%
Ethnicity,Black or Black British - Caribbean,39.2%,3199,8169,39.8%,-0.7%
Ethnicity,Black or Black British - African,40.0%,6727,16800,41.2%,-1.2%
Ethnicity,Black or Black British - Any other Black background,37.9%,1785,4704,38.8%,-0.9%
Ethnicity,Other ethnic groups - Chinese,25.6%,1176,4592,26.5%,-0.9%
Ethnicity,Other ethnic groups - Any other ethnic group,35.2%,5096,14476,36.3%,-1.1%
Ethnicity,Patients with any other ethnicity code,15.0%,42007,280441,15.6%,-0.6%
Ethnicity,Ethnicity not stated,19.3%,2121,11004,19.8%,-0.6%
Ethnicity,Ethnicity not recorded,16.3%,53172,327194,16.8%,-0.5%
Ethnicity (broad categories),White,14.5%,138929,958013,15.0%,-0.5%
Ethnicity (broad categories),Mixed,32.8%,5670,17269,33.8%,-0.9%
Ethnicity (broad categories),South Asian,25.4%,27202,106925,26.4%,-1.0%
Ethnicity (broad categories),Black,39.5%,11718,29680,40.5%,-1.0%
Ethnicity (broad categories),Other,32.9%,6265,19068,34.0%,-1.1%
Ethnicity (broad categories),Unknown,15.7%,97293,618646,16.3%,-0.6%
Index of Multiple Deprivation,Unknown,17.3%,6923,40103,17.9%,-0.6%
Index of Multiple Deprivation,1 (most deprived),23.8%,93891,394450,24.7%,-0.9%
Index of Multiple Deprivation,2,18.3%,65296,356832,18.9%,-0.6%
Index of Multiple Deprivation,3,14.4%,51387,356034,15.0%,-0.5%
Index of Multiple Deprivation,4,12.4%,39830,320285,12.9%,-0.5%
Index of Multiple Deprivation,5 (least deprived),10.6%,29757,281897,11.0%,-0.4%
Other Groups,"Patients who are, or were recently, pregnant",72.2%,9506,13160,72.8%,-0.6%
