,,Vaccines declined at 2021-04-14 (%),Vaccines declined at 2021-04-14 (n),Population,Vaccines declined at 2021-04-07 (%),Vaccines declined in past week (%)
Overall,-,1.6%,33782,2062991,1.6%,0.0%
Ethnicity,White - British,1.1%,13258,1159592,1.1%,0.0%
Ethnicity,White - Irish,2.2%,238,10913,2.2%,0.0%
Ethnicity,White - Any other White background,7.6%,2842,37310,7.6%,0.0%
Ethnicity,Mixed - White and Black Caribbean,7.8%,112,1435,7.8%,0.0%
Ethnicity,Mixed - White and Black African,4.7%,49,1043,4.7%,0.0%
Ethnicity,Mixed - White and Asian,4.3%,49,1141,4.3%,0.0%
Ethnicity,Mixed - Any other mixed background,6.0%,105,1736,6.0%,0.0%
Ethnicity,Asian or Asian British - Indian,2.9%,728,24731,2.9%,0.0%
Ethnicity,Asian or Asian British - Pakistani,5.8%,574,9835,5.8%,0.0%
Ethnicity,Asian or Asian British - Bangladeshi,4.5%,63,1414,4.5%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,5.8%,525,8981,5.8%,0.0%
Ethnicity,Black or Black British - Caribbean,9.9%,497,5005,9.9%,0.0%
Ethnicity,Black or Black British - African,11.3%,490,4347,11.3%,0.0%
Ethnicity,Black or Black British - Any other Black background,8.2%,105,1274,8.2%,0.0%
Ethnicity,Other ethnic groups - Chinese,6.8%,203,2989,6.8%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,8.8%,609,6888,8.7%,0.1%
Ethnicity,Patients with any other ethnicity code,1.4%,5012,355621,1.4%,0.0%
Ethnicity,Ethnicity not stated,2.8%,329,11690,2.8%,0.1%
Ethnicity,Ethnicity not recorded,1.9%,7994,417046,1.9%,0.0%
Ethnicity (broad categories),White,1.4%,16345,1207829,1.3%,0.0%
Ethnicity (broad categories),Mixed,6.1%,329,5369,6.0%,0.1%
Ethnicity (broad categories),South Asian,4.2%,1904,44975,4.2%,0.0%
Ethnicity (broad categories),Black,10.3%,1092,10633,10.3%,0.0%
Ethnicity (broad categories),Other,8.3%,819,9877,8.2%,0.1%
Ethnicity (broad categories),Unknown,1.7%,13335,784364,1.7%,0.0%
Index of Multiple Deprivation,Unknown,1.9%,714,38290,1.8%,0.0%
Index of Multiple Deprivation,1 (most deprived),2.7%,7343,272167,2.7%,0.0%
Index of Multiple Deprivation,2,2.1%,7441,350245,2.1%,0.0%
Index of Multiple Deprivation,3,1.6%,7238,459151,1.6%,0.0%
Index of Multiple Deprivation,4,1.4%,6524,475048,1.4%,0.0%
Index of Multiple Deprivation,5 (least deprived),1.0%,4564,468132,1.0%,0.0%
