,,Vaccines declined at 2021-04-14 (%),Vaccines declined at 2021-04-14 (n),Population,Vaccines declined at 2021-04-07 (%),Vaccines declined in past week (%)
Overall,-,3.1%,24934,813421,3.0%,0.0%
Ethnicity,White - British,2.2%,7826,354074,2.2%,0.0%
Ethnicity,White - Irish,2.5%,70,2807,2.5%,0.0%
Ethnicity,White - Any other White background,8.1%,2401,29813,7.9%,0.1%
Ethnicity,Mixed - White and Black Caribbean,8.6%,266,3094,8.6%,0.0%
Ethnicity,Mixed - White and Black African,4.3%,154,3549,4.3%,0.0%
Ethnicity,Mixed - White and Asian,4.0%,84,2100,4.0%,0.0%
Ethnicity,Mixed - Any other mixed background,6.9%,224,3269,6.6%,0.2%
Ethnicity,Asian or Asian British - Indian,2.4%,777,32172,2.4%,0.0%
Ethnicity,Asian or Asian British - Pakistani,5.0%,1575,31255,5.0%,0.1%
Ethnicity,Asian or Asian British - Bangladeshi,2.6%,231,9023,2.6%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,2.9%,441,15078,2.8%,0.1%
Ethnicity,Black or Black British - Caribbean,11.5%,805,7014,11.5%,0.0%
Ethnicity,Black or Black British - African,5.9%,1274,21553,5.8%,0.1%
Ethnicity,Black or Black British - Any other Black background,8.9%,364,4081,8.7%,0.2%
Ethnicity,Other ethnic groups - Chinese,3.2%,70,2191,3.2%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,6.4%,644,10045,6.3%,0.1%
Ethnicity,Patients with any other ethnicity code,2.6%,3549,134547,2.6%,0.0%
Ethnicity,Ethnicity not stated,3.1%,161,5215,3.1%,0.0%
Ethnicity,Ethnicity not recorded,2.8%,4018,142541,2.8%,0.0%
Ethnicity (broad categories),White,2.7%,10304,386701,2.6%,0.0%
Ethnicity (broad categories),Mixed,6.2%,742,12019,6.1%,0.1%
Ethnicity (broad categories),South Asian,3.5%,3031,87535,3.4%,0.0%
Ethnicity (broad categories),Black,7.5%,2450,32648,7.4%,0.1%
Ethnicity (broad categories),Other,5.8%,714,12236,5.7%,0.1%
Ethnicity (broad categories),Unknown,2.7%,7735,282310,2.7%,0.0%
Index of Multiple Deprivation,Unknown,2.9%,574,19684,2.9%,0.0%
Index of Multiple Deprivation,1 (most deprived),4.3%,10227,240254,4.2%,0.0%
Index of Multiple Deprivation,2,3.4%,6342,184142,3.4%,0.0%
Index of Multiple Deprivation,3,2.6%,4039,154105,2.6%,0.0%
Index of Multiple Deprivation,4,2.0%,2450,120911,2.0%,0.0%
Index of Multiple Deprivation,5 (least deprived),1.4%,1337,94360,1.4%,0.0%
Other Groups,"Patients who are, or were recently, pregnant",7.0%,756,10780,6.9%,0.1%
