,,Vaccines declined at 2021-04-14 (%),Vaccines declined at 2021-04-14 (n),Population,Vaccines declined at 2021-04-07 (%),Vaccines declined in past week (%)
Overall,-,1.9%,21259,1111369,1.9%,0.0%
Ethnicity,White - British,1.3%,7084,547036,1.3%,0.0%
Ethnicity,White - Irish,2.5%,161,6342,2.5%,0.0%
Ethnicity,White - Any other White background,6.5%,1176,18109,6.5%,0.0%
Ethnicity,Mixed - White and Black Caribbean,9.4%,105,1113,9.4%,0.0%
Ethnicity,Mixed - White and Black African,10.0%,35,350,10.0%,0.0%
Ethnicity,Mixed - White and Asian,6.2%,28,448,6.2%,0.0%
Ethnicity,Mixed - Any other mixed background,8.5%,56,658,8.5%,0.0%
Ethnicity,Asian or Asian British - Indian,3.8%,448,11760,3.8%,0.1%
Ethnicity,Asian or Asian British - Pakistani,9.2%,595,6440,9.2%,0.0%
Ethnicity,Asian or Asian British - Bangladeshi,8.6%,84,980,8.6%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,8.3%,280,3374,8.3%,0.0%
Ethnicity,Black or Black British - Caribbean,13.4%,707,5292,13.4%,0.0%
Ethnicity,Black or Black British - African,16.0%,273,1708,16.0%,0.0%
Ethnicity,Black or Black British - Any other Black background,14.3%,91,637,14.3%,0.0%
Ethnicity,Other ethnic groups - Chinese,8.8%,105,1190,8.8%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,10.1%,287,2842,10.1%,0.0%
Ethnicity,Patients with any other ethnicity code,1.6%,3402,211344,1.6%,0.0%
Ethnicity,Ethnicity not stated,2.6%,189,7371,2.6%,0.0%
Ethnicity,Ethnicity not recorded,2.2%,6153,284375,2.2%,0.0%
Ethnicity (broad categories),White,1.5%,8428,571494,1.5%,0.0%
Ethnicity (broad categories),Mixed,9.0%,231,2576,9.0%,0.0%
Ethnicity (broad categories),South Asian,6.3%,1414,22554,6.2%,0.1%
Ethnicity (broad categories),Black,14.2%,1085,7651,14.2%,0.0%
Ethnicity (broad categories),Other,9.9%,399,4032,9.9%,0.0%
Ethnicity (broad categories),Unknown,1.9%,9751,503097,1.9%,0.0%
Index of Multiple Deprivation,Unknown,2.1%,413,19740,2.1%,0.0%
Index of Multiple Deprivation,1 (most deprived),3.5%,4984,143647,3.5%,0.0%
Index of Multiple Deprivation,2,2.5%,4599,186046,2.5%,0.0%
Index of Multiple Deprivation,3,1.8%,4431,248003,1.8%,0.0%
Index of Multiple Deprivation,4,1.5%,3969,256431,1.5%,0.0%
Index of Multiple Deprivation,5 (least deprived),1.1%,2912,257537,1.1%,0.0%
