Category,,total,Vaccinated (% of total),Declined (% of total),Contraindicated/unsuccessful (% of total),No Records (% of total)
Age Band,75-<80,"2,023,665","1,939,441 (95.84%)","34,244 (1.69%)",882 (0.04%),"49,098 (2.43%)"
Age Band,80-<85,"1,408,400","1,352,071 (96.00%)","27,048 (1.92%)",532 (0.04%),"28,749 (2.04%)"
Age Band,85-<120,"1,357,335","1,295,980 (95.48%)","29,176 (2.15%)",504 (0.04%),"31,675 (2.33%)"
Age Band,65-<70,"2,516,955","2,324,469 (92.35%)","46,018 (1.83%)","1,463 (0.06%)","145,005 (5.76%)"
Age Band,70-<75,"2,783,242","2,640,092 (94.86%)","51,107 (1.84%)","1,610 (0.06%)","90,433 (3.25%)"
Sex,Female,"5,445,440","5,167,911 (94.90%)","107,359 (1.97%)","2,401 (0.04%)","167,769 (3.08%)"
Sex,Male,"4,644,171","4,384,163 (94.40%)","80,262 (1.73%)","2,562 (0.06%)","177,184 (3.82%)"
High Level Ethnicity,White,"6,384,245","6,140,638 (96.18%)","92,659 (1.45%)","2,219 (0.03%)","148,729 (2.33%)"
High Level Ethnicity,Mixed,"40,173","32,081 (79.86%)","2,597 (6.46%)",70 (0.17%),"5,425 (13.50%)"
High Level Ethnicity,South Asian,"310,177","270,592 (87.24%)","11,564 (3.73%)",273 (0.09%),"27,748 (8.95%)"
High Level Ethnicity,Black,"119,616","84,245 (70.43%)","13,349 (11.16%)",175 (0.15%),"21,847 (18.26%)"
High Level Ethnicity,Other,"62,559","48,440 (77.43%)","3,934 (6.29%)",126 (0.20%),"10,059 (16.08%)"
High Level Ethnicity,Unknown,"3,172,813","2,976,050 (93.80%)","63,490 (2.00%)","2,135 (0.07%)","131,138 (4.13%)"
IMD Band,Unknown,"82,649","78,309 (94.75%)","1,617 (1.96%)",49 (0.06%),"2,674 (3.24%)"
IMD Band,1 (most deprived),"1,418,151","1,292,823 (91.16%)","44,093 (3.11%)","1,029 (0.07%)","80,206 (5.66%)"
IMD Band,2,"1,750,252","1,627,276 (92.97%)","43,393 (2.48%)",840 (0.05%),"78,743 (4.50%)"
IMD Band,3,"2,142,014","2,033,731 (94.94%)","38,437 (1.79%)",952 (0.04%),"68,894 (3.22%)"
IMD Band,4,"2,298,051","2,203,257 (95.88%)","33,313 (1.45%)","1,029 (0.04%)","60,452 (2.63%)"
IMD Band,5 (least deprived),"2,398,466","2,316,650 (96.59%)","26,740 (1.11%)","1,106 (0.05%)","53,970 (2.25%)"
Patients with Severe Mental Health,no,"9,989,966","9,462,292 (94.72%)","183,589 (1.84%)","4,907 (0.05%)","339,178 (3.40%)"
Patients with Severe Mental Health,yes,"99,638","89,782 (90.11%)","4,025 (4.04%)",63 (0.06%),"5,768 (5.79%)"
Patients with Wider Learning Disability,no,"10,065,412","9,529,114 (94.67%)","187,089 (1.86%)","4,956 (0.05%)","344,253 (3.42%)"
Patients with Wider Learning Disability,yes,"24,192","22,953 (94.88%)",525 (2.17%),21 (0.09%),693 (2.86%)
