Category,,total,Vaccinated (% of total),Declined (% of total),Contraindicated/unsuccessful (% of total),No Records (% of total)
Age Band,16-<30,"664,272","445,431 (67.06%)","28,014 (4.22%)","1,071 (0.16%)","189,756 (28.57%)"
Age Band,30-<40,"921,655","668,780 (72.56%)","34,496 (3.74%)","1,365 (0.15%)","217,014 (23.55%)"
Age Band,40-<50,"1,265,278","1,053,220 (83.24%)","35,203 (2.78%)","1,106 (0.09%)","175,749 (13.89%)"
Age Band,50-<55,"919,177","814,443 (88.61%)","22,043 (2.40%)",602 (0.07%),"82,089 (8.93%)"
Age Band,55-<60,"1,106,588","1,003,954 (90.73%)","23,471 (2.12%)",630 (0.06%),"78,533 (7.10%)"
Age Band,60-<65,"1,167,922","1,082,123 (92.65%)","22,015 (1.88%)",553 (0.05%),"63,231 (5.41%)"
Age Band,65-<70,"271,299","256,375 (94.50%)","5,411 (1.99%)",126 (0.05%),"9,387 (3.46%)"
Sex,Female,"3,139,913","2,656,472 (84.60%)","86,289 (2.75%)","2,695 (0.09%)","394,457 (12.56%)"
Sex,Male,"3,176,292","2,667,875 (83.99%)","84,392 (2.66%)","2,723 (0.09%)","421,302 (13.26%)"
High Level Ethnicity,White,"3,553,998","3,095,582 (87.10%)","85,603 (2.41%)","2,947 (0.08%)","369,866 (10.41%)"
High Level Ethnicity,Mixed,"89,950","62,062 (69.00%)","4,760 (5.29%)",140 (0.16%),"22,988 (25.56%)"
High Level Ethnicity,South Asian,"572,208","459,228 (80.26%)","14,609 (2.55%)",483 (0.08%),"97,888 (17.11%)"
High Level Ethnicity,Black,"260,589","164,234 (63.02%)","17,402 (6.68%)",308 (0.12%),"78,645 (30.18%)"
High Level Ethnicity,Other,"90,370","64,575 (71.46%)","3,521 (3.90%)",133 (0.15%),"22,141 (24.50%)"
High Level Ethnicity,Unknown,"1,749,083","1,478,645 (84.54%)","44,765 (2.56%)","1,428 (0.08%)","224,245 (12.82%)"
IMD Band,Unknown,"62,055","52,990 (85.39%)","1,498 (2.41%)",84 (0.14%),"7,483 (12.06%)"
IMD Band,1 (most deprived),"1,614,564","1,256,983 (77.85%)","64,393 (3.99%)","1,715 (0.11%)","291,473 (18.05%)"
IMD Band,2,"1,396,969","1,142,288 (81.77%)","43,771 (3.13%)","1,078 (0.08%)","209,832 (15.02%)"
IMD Band,3,"1,214,472","1,047,578 (86.26%)","28,357 (2.33%)","1,015 (0.08%)","137,522 (11.32%)"
IMD Band,4,"1,066,555","949,151 (88.99%)","19,516 (1.83%)",903 (0.08%),"96,985 (9.09%)"
IMD Band,5 (least deprived),"961,576","875,350 (91.03%)","13,111 (1.36%)",665 (0.07%),"72,450 (7.53%)"
"Patients who are, or were recently, pregnant",no,"6,255,893","5,301,464 (84.74%)","167,097 (2.67%)","5,138 (0.08%)","782,194 (12.50%)"
"Patients who are, or were recently, pregnant",yes,"60,319","22,890 (37.95%)","3,584 (5.94%)",280 (0.46%),"33,565 (55.65%)"
Patients with Severe Mental Health,no,"5,912,137","5,038,740 (85.23%)","150,031 (2.54%)","4,858 (0.08%)","718,508 (12.15%)"
Patients with Severe Mental Health,yes,"404,068","285,614 (70.68%)","20,650 (5.11%)",553 (0.14%),"97,251 (24.07%)"
Patients with Wider Learning Disability,no,"6,064,674","5,113,087 (84.31%)","160,937 (2.65%)","5,166 (0.09%)","785,484 (12.95%)"
Patients with Wider Learning Disability,yes,"251,538","211,267 (83.99%)","9,744 (3.87%)",252 (0.10%),"30,275 (12.04%)"
