Category,,total,Vaccinated (% of total),Declined (% of total),Contraindicated/unsuccessful (% of total),No Records (% of total)
Age Band,50-<55,"3,114,629","2,605,316 (83.65%)","48,972 (1.57%)","1,855 (0.06%)","458,486 (14.72%)"
Age Band,55-<60,"2,804,333","2,425,836 (86.50%)","42,392 (1.51%)","1,610 (0.06%)","334,495 (11.93%)"
Age Band,60-<65,"2,152,038","1,911,868 (88.84%)","33,558 (1.56%)","1,267 (0.06%)","205,345 (9.54%)"
Sex,Female,"4,058,264","3,604,398 (88.82%)","58,457 (1.44%)","1,645 (0.04%)","393,764 (9.70%)"
Sex,Male,"4,012,750","3,338,629 (83.20%)","66,465 (1.66%)","3,094 (0.08%)","604,562 (15.07%)"
High Level Ethnicity,White,"4,687,473","4,198,481 (89.57%)","63,665 (1.36%)","1,876 (0.04%)","423,451 (9.03%)"
High Level Ethnicity,Mixed,"75,481","53,305 (70.62%)","2,135 (2.83%)",63 (0.08%),"19,978 (26.47%)"
High Level Ethnicity,South Asian,"327,831","260,386 (79.43%)","5,089 (1.55%)",140 (0.04%),"62,216 (18.98%)"
High Level Ethnicity,Black,"216,104","130,256 (60.27%)","8,043 (3.72%)",154 (0.07%),"77,651 (35.93%)"
High Level Ethnicity,Other,"109,725","74,515 (67.91%)","2,583 (2.35%)",105 (0.10%),"32,522 (29.64%)"
High Level Ethnicity,Unknown,"2,654,365","2,226,063 (83.86%)","43,393 (1.63%)","2,408 (0.09%)","382,501 (14.41%)"
IMD Band,Unknown,"69,797","61,299 (87.82%)","1,141 (1.63%)",35 (0.05%),"7,322 (10.49%)"
IMD Band,1 (most deprived),"1,293,838","1,005,179 (77.69%)","31,990 (2.47%)",861 (0.07%),"255,808 (19.77%)"
IMD Band,2,"1,491,154","1,223,250 (82.03%)","29,456 (1.98%)",812 (0.05%),"237,636 (15.94%)"
IMD Band,3,"1,665,132","1,446,137 (86.85%)","25,368 (1.52%)",903 (0.05%),"192,724 (11.57%)"
IMD Band,4,"1,735,146","1,550,892 (89.38%)","20,776 (1.20%)",959 (0.06%),"162,519 (9.37%)"
IMD Band,5 (least deprived),"1,815,919","1,656,249 (91.21%)","16,177 (0.89%)","1,183 (0.07%)","142,310 (7.84%)"
