wave,Vaccinated,Declined then received,Declined - all,total,per_1000,per_1000_vacc,converted
Other,8860817,10220,125685,23702000,0.43,1.15,81.31
In care home,242697,1617,6335,252637,6.4,6.66,255.25
80+,2467794,26530,86520,2578870,10.29,10.75,306.63
70-79,4530071,27321,128310,4754792,5.75,6.03,212.93
CEV,1733942,16695,87066,1991549,8.38,9.63,191.75
65-69,2311820,8337,58275,2503298,3.33,3.61,143.06
At risk,3592463,16877,128989,4324663,3.9,4.7,130.84
60-64,1912043,6594,44352,2152038,3.06,3.45,148.67
55-59,2426235,12320,60858,2804333,4.39,5.08,202.44
50-54,2605862,9296,62328,3114629,2.98,3.57,149.15
