wave,high_level_ethnicity,weeks_diff,patient_id
Other,White,0-<2 weeks,1127
Other,White,2-<4 weeks,490
Other,White,1-<2 months,385
Other,White,>=2 months,196
Other,Mixed,0-<2 weeks,35
Other,Mixed,2-<4 weeks,21
Other,Mixed,1-<2 months,14
Other,Mixed,>=2 months,7
Other,South Asian,0-<2 weeks,182
Other,South Asian,2-<4 weeks,133
Other,South Asian,1-<2 months,161
Other,South Asian,>=2 months,70
Other,Black,0-<2 weeks,35
Other,Black,2-<4 weeks,28
Other,Black,1-<2 months,56
Other,Black,>=2 months,21
Other,Other,0-<2 weeks,42
Other,Other,2-<4 weeks,28
Other,Other,1-<2 months,28
Other,Other,>=2 months,14
Other,Unknown,0-<2 weeks,770
Other,Unknown,2-<4 weeks,378
Other,Unknown,1-<2 months,294
Other,Unknown,>=2 months,168
In care home,White,0-<2 weeks,84
In care home,White,2-<4 weeks,70
In care home,White,1-<2 months,119
In care home,White,>=2 months,98
In care home,Mixed,0-<2 weeks,0
In care home,Mixed,2-<4 weeks,0
In care home,Mixed,1-<2 months,0
In care home,Mixed,>=2 months,0
In care home,South Asian,0-<2 weeks,0
In care home,South Asian,2-<4 weeks,0
In care home,South Asian,1-<2 months,7
In care home,South Asian,>=2 months,0
In care home,Black,0-<2 weeks,0
In care home,Black,2-<4 weeks,0
In care home,Black,1-<2 months,0
In care home,Black,>=2 months,0
In care home,Other,0-<2 weeks,0
In care home,Other,2-<4 weeks,0
In care home,Other,1-<2 months,0
In care home,Other,>=2 months,0
In care home,Unknown,0-<2 weeks,56
In care home,Unknown,2-<4 weeks,49
In care home,Unknown,1-<2 months,77
In care home,Unknown,>=2 months,77
80+,White,0-<2 weeks,959
80+,White,2-<4 weeks,875
80+,White,1-<2 months,1743
80+,White,>=2 months,1043
80+,Mixed,0-<2 weeks,14
80+,Mixed,2-<4 weeks,14
80+,Mixed,1-<2 months,35
80+,Mixed,>=2 months,28
80+,South Asian,0-<2 weeks,140
80+,South Asian,2-<4 weeks,196
80+,South Asian,1-<2 months,420
80+,South Asian,>=2 months,294
80+,Black,0-<2 weeks,84
80+,Black,2-<4 weeks,91
80+,Black,1-<2 months,217
80+,Black,>=2 months,196
80+,Other,0-<2 weeks,14
80+,Other,2-<4 weeks,21
80+,Other,1-<2 months,28
80+,Other,>=2 months,28
80+,Unknown,0-<2 weeks,917
80+,Unknown,2-<4 weeks,973
80+,Unknown,1-<2 months,1750
80+,Unknown,>=2 months,1078
70-79,White,0-<2 weeks,2331
70-79,White,2-<4 weeks,1029
70-79,White,1-<2 months,1281
70-79,White,>=2 months,777
70-79,Mixed,0-<2 weeks,28
70-79,Mixed,2-<4 weeks,35
70-79,Mixed,1-<2 months,42
70-79,Mixed,>=2 months,14
70-79,South Asian,0-<2 weeks,238
70-79,South Asian,2-<4 weeks,252
